ID,Age,Weight (lbs),Daily Walk Distance (miles),Hours of Sleep,Play Time (hrs),Annual Vet Visits,Average Temperature (F),Healthy,Breed_Beagle,Breed_Boxer,Breed_Bulldog,Breed_Chihuahua,Breed_Dachshund,Breed_Doberman,Breed_German Shepherd,Breed_Golden Retriever,Breed_Great Dane,Breed_Labrador Retriever,Breed_Poodle,Breed_Rottweiler,Breed_Siberian Husky,Breed_Yorkshire Terrier,Breed Size_Medium,Breed Size_Small,Sex_Male,Spay/Neuter Status_Spayed,Daily Activity Level_Low,Daily Activity Level_Moderate,Daily Activity Level_Very Active,Diet_Home cooked,Diet_Special diet,Diet_Wet food,Food Brand_Hill's Science,Food Brand_Iams,Food Brand_Nutro,Food Brand_Pedigree,Food Brand_Purina,Food Brand_Royal Canin,Food Brand_Special,Food Brand_Wellness,Other Pets in Household_Yes,Medications_Yes,Seizures_Yes,Owner Activity Level_Low,Owner Activity Level_Moderate,Owner Activity Level_Very Active
25,6.0,1.0083443537318872,1.0,8.0,2.0,0.0,74.0,Yes,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
26,10.0,0.0,3.0,8.0,3.0,0.0,72.0,No,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False
27,11.0,0.12283990215221427,4.0,11.0,1.0,0.0,75.0,Yes,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
28,13.0,0.0,4.0,13.0,2.0,1.0,66.0,Yes,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
29,13.0,0.0,5.0,10.0,1.0,1.0,54.0,Yes,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
30,2.0,1.0764600807764775,1.0,14.0,1.0,0.0,43.0,Yes,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False
31,13.0,0.0,0.0,10.0,2.0,1.0,61.0,Yes,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
32,5.0,0.8721128996427069,4.0,10.0,2.0,0.0,61.0,Yes,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
33,13.0,0.0,4.0,11.0,1.0,2.0,33.0,No,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
34,10.0,1.2808072619102482,1.0,10.0,3.0,3.0,52.0,Yes,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
35,8.0,0.3953028103305752,3.0,12.0,2.0,1.0,82.0,Yes,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
36,2.0,0.5315342644197557,2.0,9.0,1.0,1.0,70.0,Yes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
37,4.0,1.2808072619102482,2.0,11.0,0.0,0.0,40.0,No,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
38,13.0,0.0,0.0,13.0,1.0,1.0,99.0,Yes,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False
39,9.0,1.0083443537318872,3.0,9.0,2.0,1.0,48.0,No,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False
40,10.0,0.05472417510762403,3.0,12.0,2.0,1.0,93.0,Yes,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True
41,12.0,0.5996499914643459,6.0,10.0,2.0,0.0,68.0,Yes,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
42,9.0,0.0,4.0,13.0,2.0,0.0,55.0,Yes,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
43,12.0,0.0,3.0,12.0,3.0,0.0,64.0,No,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,True
44,2.0,1.2808072619102482,1.0,11.0,0.0,0.0,67.0,Yes,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
45,2.0,0.0,3.0,9.0,1.0,0.0,74.0,Yes,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
46,4.0,0.9402286266872971,5.0,12.0,2.0,1.0,69.0,Yes,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
47,13.0,0.0,0.0,13.0,1.0,0.0,54.0,No,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
48,12.0,0.0,3.0,10.0,1.0,0.0,56.0,No,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
49,7.0,0.0,4.0,12.0,0.0,0.0,49.0,No,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
50,9.0,0.7358814455535264,1.0,10.0,2.0,0.0,47.0,Yes,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
51,8.0,0.0,3.0,13.0,2.0,0.0,80.0,Yes,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
52,11.0,0.5996499914643459,1.0,10.0,1.0,0.0,40.0,No,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
53,5.0,0.0,3.0,10.0,3.0,2.0,75.0,No,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False
54,7.0,0.0,1.0,12.0,1.0,0.0,73.0,Yes,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True
55,12.0,0.0,4.0,12.0,3.0,0.0,74.0,No,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False
56,4.0,0.0,6.0,10.0,1.0,2.0,67.0,Yes,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
57,8.0,0.6677657185089362,3.0,11.0,2.0,0.0,43.0,Yes,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True
58,2.0,1.82573307826697,2.0,11.0,1.0,3.0,45.0,Yes,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
59,6.0,0.8039971725981166,2.0,10.0,1.0,1.0,64.0,Yes,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
60,7.0,1.0764600807764775,2.0,10.0,2.0,2.0,50.0,Yes,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True
61,8.0,0.0,3.0,12.0,2.0,2.0,64.0,Yes,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
62,12.0,0.8039971725981166,0.0,9.0,1.0,0.0,68.0,No,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True
63,1.0,1.6895016241777896,2.0,12.0,0.0,0.0,44.0,No,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
64,4.0,0.0,3.0,13.0,0.0,1.0,57.0,Yes,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
65,8.0,0.8721128996427069,3.0,10.0,3.0,0.0,54.0,No,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
66,13.0,0.0,4.0,12.0,1.0,0.0,69.0,No,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
67,11.0,0.8721128996427069,3.0,12.0,1.0,0.0,55.0,Yes,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
68,5.0,0.0,2.0,12.0,3.0,2.0,35.0,Yes,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
69,10.0,0.12283990215221427,2.0,10.0,2.0,2.0,50.0,No,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False
70,5.0,1.4170387159994287,2.0,10.0,2.0,0.0,64.0,Yes,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
71,9.0,0.0,2.0,11.0,0.0,3.0,59.0,No,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False
72,1.0,0.0,6.0,14.0,1.0,0.0,64.0,No,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
73,10.0,0.0,5.0,11.0,3.0,1.0,78.0,Yes,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
74,9.0,0.05472417510762403,2.0,9.0,2.0,0.0,75.0,No,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
75,13.0,0.8039971725981166,4.0,12.0,2.0,0.0,68.0,No,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,True
76,10.0,0.32718708328598495,1.0,12.0,2.0,3.0,53.0,Yes,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True
77,9.0,0.0,2.0,11.0,1.0,0.0,79.0,Yes,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
78,13.0,2.3025431675791017,2.0,13.0,1.0,0.0,78.0,No,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
79,13.0,0.0,2.0,12.0,1.0,2.0,64.0,No,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False
80,6.0,0.3953028103305752,3.0,12.0,2.0,0.0,86.0,Yes,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
81,2.0,0.0,1.0,10.0,3.0,2.0,66.0,Yes,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
82,11.0,0.0,2.0,9.0,3.0,2.0,66.0,Yes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
83,9.0,0.4634185373751654,3.0,12.0,1.0,0.0,53.0,Yes,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
84,11.0,1.4170387159994287,5.0,14.0,1.0,0.0,75.0,Yes,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
85,12.0,1.5532701700886091,2.0,10.0,2.0,0.0,84.0,Yes,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
86,7.0,0.4634185373751654,3.0,10.0,3.0,0.0,42.0,No,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,True
87,7.0,2.7793532568912336,2.0,11.0,0.0,0.0,53.0,Yes,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True
88,1.0,0.0,3.0,11.0,2.0,1.0,78.0,Yes,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
89,9.0,0.0,3.0,9.0,1.0,0.0,98.0,No,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False
90,2.0,0.0,1.0,13.0,1.0,0.0,38.0,Yes,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
91,12.0,0.0,2.0,10.0,2.0,0.0,92.0,Yes,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
92,1.0,0.0,5.0,12.0,0.0,0.0,66.0,No,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False
93,4.0,0.2590713562413947,2.0,10.0,3.0,1.0,87.0,Yes,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False
94,2.0,0.0,2.0,14.0,0.0,0.0,58.0,Yes,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False
95,3.0,1.7576173512223798,3.0,8.0,3.0,1.0,76.0,Yes,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
96,7.0,0.1909556291968045,5.0,14.0,0.0,2.0,58.0,Yes,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
97,3.0,0.0,4.0,10.0,1.0,0.0,77.0,Yes,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
98,10.0,0.0,3.0,11.0,2.0,1.0,79.0,Yes,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
99,4.0,0.3953028103305752,3.0,9.0,0.0,0.0,36.0,Yes,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
100,9.0,1.7576173512223798,0.0,13.0,3.0,0.0,31.0,Yes,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False
101,3.0,0.0,2.0,10.0,2.0,0.0,65.0,Yes,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
102,5.0,0.0,4.0,10.0,1.0,0.0,37.0,Yes,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True
103,5.0,0.0,4.0,12.0,2.0,1.0,50.0,Yes,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
104,12.0,0.0,2.0,11.0,4.0,0.0,78.0,Yes,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
105,10.0,0.2590713562413947,3.0,11.0,3.0,0.0,39.0,Yes,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True
106,2.0,1.0083443537318872,1.0,9.0,0.0,0.0,50.0,No,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True
107,7.0,0.0,5.0,11.0,2.0,0.0,53.0,Yes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
108,2.0,0.4634185373751654,0.0,10.0,1.0,0.0,70.0,Yes,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
109,8.0,0.0,2.0,9.0,1.0,1.0,77.0,Yes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
110,7.0,0.0,3.0,12.0,1.0,1.0,60.0,Yes,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
111,8.0,0.0,2.0,12.0,2.0,0.0,94.0,Yes,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
112,1.0,0.7358814455535264,1.0,12.0,2.0,0.0,69.0,Yes,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
113,5.0,0.0,5.0,12.0,0.0,3.0,82.0,Yes,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
114,8.0,2.8474689839358236,2.0,11.0,3.0,0.0,55.0,No,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True
115,9.0,0.0,2.0,13.0,0.0,0.0,58.0,Yes,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
116,9.0,0.0,3.0,13.0,1.0,1.0,100.0,Yes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
